,Year,Precipitation,Cloud Cover,Temperature Anomaly,Sea Ice Coverage,Ocean Mean Temperature Anomaly,CO2 (ppm)
0,1959,67.5553,54.71891916666666,-0.04646084266666667,0.07686382166666667,-0.07292110666666667,316.28
1,1960,67.24789666666666,55.00638583333333,-0.11299663233333333,0.075551145,-0.047262336666666654,317.12583333333333
2,1961,68.15438666666667,54.87291000000001,-0.022222175,0.07486256416666666,-0.05339664833333333,317.98833333333334
3,1962,67.38508666666665,54.29556416666666,-0.06305158916666666,0.07549778,-0.0679597625,318.64666666666665
4,1963,67.26139333333333,54.839598333333335,-0.03649074000000001,0.07583336250000001,-0.02114235991666667,319.4175
5,1964,67.8513875,54.8386075,-0.30609929166666666,0.07499908666666666,-0.1408572725,319.0633333333333
6,1965,65.19874833333333,54.49303916666668,-0.20493617500000003,0.07464470583333334,-0.11660647499999999,320.48499999999996
7,1966,67.8031325,55.06482583333334,-0.147310884,0.07421636666666666,-0.09139177249999998,321.70166666666665
8,1967,66.71953416666668,54.89623249999999,-0.11577035583333332,0.07467182083333333,-0.15915943333333335,322.375
9,1968,67.55088500000001,55.172608333333336,-0.1677949125,0.073193375,-0.13652735666666665,323.5566666666667
10,1969,67.2032225,55.049865000000004,-0.032539959608333335,0.07369331999999999,-0.0691890875,325.07166666666666
11,1970,67.60619,54.67980083333333,-0.08522431833333333,0.07316895083333334,-0.14102239166666666,325.825
12,1971,67.3850075,54.655962499999994,-0.2054474666666667,0.07242087416666666,-0.2560121083333334,326.6583333333333
13,1972,65.83929749999999,54.88743916666667,-0.0946346275,0.073088415,-0.13309844499999998,328.1266666666667
14,1973,70.23765166666665,55.20789333333334,0.050670579166666674,0.07360676583333332,-0.08864297833333334,330.03416666666664
15,1974,69.75661833333335,55.55455416666666,-0.17327643750000002,0.07144868833333333,-0.14207070000000005,330.49083333333334
16,1975,69.99030666666665,55.0211,-0.11006381750000001,0.070324165,-0.15214222500000005,331.5891666666667
17,1976,66.82411833333333,54.932269999999995,-0.2159530591666667,0.06962539083333333,-0.14295771333333335,332.5466666666667
18,1977,67.55610333333334,55.76381666666666,0.10451290025,0.0685205775,0.025352933583333334,334.53666666666663
19,1978,68.47665666666667,55.668971666666664,0.005699777500000003,0.07005674666666668,0.018914954999999997,335.92833333333334
20,1979,68.0612675,55.4763375,0.09203930333333332,0.06949498,0.030844011083333334,337.46500000000003
21,1980,66.5651625,55.3205575,0.19622583250000003,0.06898673166666668,0.07251,339.2183333333333
22,1981,68.78862333333332,55.594160833333326,0.25061423833333335,0.06872167666666666,0.024439387249999996,340.3525
23,1982,66.25553083333334,55.342459166666664,0.03447371716666667,0.07039614,-0.003978100333333334,341.40749999999997
24,1983,66.66940583333333,55.50649666666667,0.22418327000000002,0.06938181250000001,0.06205534083333334,343.49916666666667
25,1984,67.8339175,55.24218333333334,0.04850818166666668,0.06833975166666666,-0.037437186666666664,344.9383333333333
26,1985,66.87116416666666,55.546210833333326,0.04992561299999999,0.06852873749999999,-0.04304553208333333,346.23
27,1986,65.64136083333334,55.398356666666665,0.09598848416666665,0.0669198625,-0.013012147875000003,347.67249999999996
28,1987,64.08082416666666,55.190715000000004,0.24328270833333332,0.06967124583333335,0.12573676833333336,349.8558333333333
29,1988,68.16073416666667,55.3237,0.28349757833333333,0.06995839166666666,0.057484538416666654,352.0641666666667
30,1989,67.35234750000001,55.114070000000005,0.18092711416666665,0.06875467833333333,0.04605870249999999,353.325
31,1990,66.85216750000001,55.11537416666666,0.362082625,0.06712532,0.13468141666666664,354.71000000000004
32,1991,65.20223666666666,55.37859583333333,0.3395116666666667,0.06854389166666665,0.1374750583333333,355.87833333333333
33,1992,64.51227416666667,55.19398083333332,0.12582156016666665,0.06950978,0.13172412083333332,356.54249999999996
34,1993,66.01043250000001,55.01001083333333,0.16743886333333335,0.06903478916666667,0.12359034166666667,357.6083333333333
35,1994,65.91130583333334,54.751720833333344,0.23530159166666667,0.07025687750000001,0.07805511000000001,359.51500000000004
36,1995,67.26153999999998,54.85111083333334,0.37874946666666665,0.06838738583333334,0.11607423000000001,361.5425
37,1996,68.4445425,55.62133583333335,0.27787330000000005,0.06920294083333334,0.09223910083333332,362.9791666666667
38,1997,67.35058916666667,55.76612666666667,0.42375622500000004,0.06802192416666668,0.13684866666666665,364.53916666666663
39,1998,69.67240833333334,55.83043583333333,0.5790947166666668,0.06898909833333333,0.21617574166666664,367.49250000000006
40,1999,69.60335416666666,55.516627500000006,0.326450375,0.06917890083333333,0.04461846583333332,368.565
41,2000,69.39937499999999,55.6955475,0.333069975,0.06863030833333335,0.07620655833333333,369.9749999999999
42,2001,66.97749499999999,55.3499775,0.491905275,0.06837855333333333,0.14433038000000004,371.61499999999995
43,2002,66.71819666666667,55.32521416666666,0.545154525,0.0669237075,0.20703067500000003,373.9433333333333
44,2003,67.0812925,54.72280583333335,0.54590445,0.06831184166666666,0.225525,376.38500000000005
45,2004,67.65927666666667,54.85588333333334,0.4695680833333333,0.06725168333333334,0.25742639999999994,377.9566666666667
46,2005,66.45047,54.628685,0.6092571583333334,0.06647606666666665,0.2448495583333333,380.4558333333334
47,2006,68.81594666666666,54.75777250000001,0.574064625,0.06531867250000001,0.23524230833333334,382.3533333333333
48,2007,67.91018833333334,54.67944,0.593131925,0.06511745,0.19265896666666668,384.1466666666667
49,2008,69.70351083333333,54.6884,0.467441,0.06788702333333334,0.1513524916666667,386.14416666666665
50,2009,67.36243166666667,54.653263333333335,0.5977361083333332,0.06679483166666667,0.25440386666666664,388.205
51,2010,70.90839416666667,55.54912999999999,0.6820415166666667,0.06576159666666666,0.26939959166666666,390.48583333333335
52,2011,69.31943416666667,54.947965,0.5386527833333333,0.06413185166666667,0.1983488666666667,392.33
53,2012,67.25104583333332,54.73092166666666,0.579461525,0.06519321583333333,0.2136080583333334,394.77583333333337
54,2013,68.89872749999999,54.659074999999994,0.6247803250000001,0.06767684333333333,0.2620789416666667,397.2966666666666
55,2014,66.94973416666667,55.031349166666665,0.67429515,0.0679606175,0.3009249333333333,399.3041666666666
56,2015,65.82168666666666,55.11398166666666,0.8267746416666667,0.06647231166666667,0.43338064166666657,402.06166666666655
57,2016,67.69431416666667,55.23183749999999,0.9343561583333334,0.06288512250000002,0.4466639500000002,404.48
